topic,grade_level,subject,question_type,question_text,correct_answer,options,difficulty,source,metadata_json
"Unit 2: Daily routines","4º Primaria","Inglés","voice","How do you say 'ducharse' in English?","Have a shower","","media","SANTILLANA","{""explicacionDiamante"": ""'Have a shower' es el verbo para ducharse. ¡Acuérdate de la h inicial!"", ""rule_id"": ""U2_VOCAB_ROUTINES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","classification","Classify these daily activities","{""Have breakfast"": ""Morning"", ""Wake up"": ""Morning"", ""Do homework"": ""Afternoon"", ""Go to bed"": ""Night""}","Have breakfast | Wake up | Do homework | Go to bed","media","SANTILLANA","{""buckets"": [""Morning"", ""Afternoon"", ""Night""], ""explicacionDiamante"": ""Agrupa las acciones según el momento del día en que se suelen hacer.""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","He ___ (get up) at seven o'clock.","gets up","","media","SANTILLANA","{""explicacionDiamante"": ""Con 'He, She, It' añadimos 's' al verbo en Present Simple: he gets up."", ""rule_id"": ""RULES_ENG_G4_U2_3RD_PERSON""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","I ___ (not/go) to school at 8:00.","don't go","","media","SANTILLANA","{""explicacionDiamante"": ""Usamos 'don't' para negar con 'I, You, We, They'. 'I don't go'."", ""rule_id"": ""U2_GRAMMAR_NEGATIVE""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","at / I / Up / Wake / seven / o'clock","I wake up at seven o'clock","","fácil","SANTILLANA","{""explicacionDiamante"": ""Primero el sujeto (I), luego el verbo (wake up) y por último la hora."", ""rule_id"": ""U2_SYNTAX_ORDER""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","She ___ (brush) her teeth after dinner.","brushes","","media","SANTILLANA","{""explicacionDiamante"": ""Si el verbo termina en 'sh', añadimos 'es' para la tercera persona: she brushes."", ""rule_id"": ""RULES_ENG_G4_U2_3RD_PERSON_ES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","breakfast / What / have / you / time / do / ?","What time do you have breakfast?","","dificil","SANTILLANA","{""explicacionDiamante"": ""Para preguntar la hora usamos: What time + do/does + sujeto + verbo...?"", ""rule_id"": ""U2_SYNTAX_TIME_QUES""}"
"Unit 2: Daily routines","4º Primaria","Inglés","fill_blanks","It's ___ (las diez y cuarto).","quarter past ten","","media","SANTILLANA","{""explicacionDiamante"": ""Recuerda: 'quarter past' para 'y cuarto' y la hora al final."", ""rule_id"": ""U2_VOCAB_TIME""}"
"Unit 2: Daily routines","4º Primaria","Inglés","word_order","past / eight / It / is / half","It is half past eight","","media","SANTILLANA","{""explicacionDiamante"": ""'Half past' significa 'y media'. La estructura es: It is + half past + hora."", ""rule_id"": ""U2_VOCAB_TIME_HALF""}"
"Unit 2: Daily routines","4º Primaria","Inglés","voice","Tell me the time: 07:30","Half past seven","","media","SANTILLANA","{""explicacionDiamante"": ""07:30 se dice 'half past seven'. Primero los minutos y luego la hora."", ""rule_id"": ""U2_VOCAB_TIME_ORAL""}"
