id,pregunta,asignatura,curso,tema,tipo_ejercicio,foco_auto,criterio_auto,licencia_auto,fuente_original,confianza,foco_final,criterio_final,licencia_final,verificado,notas
cuarto-primaria-galicia-PARTE1_38,"¿Qué fracción representa la mitad?",Sin especificar,4º Primaria,Fracciones,Mitad,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_39,"¿Qué fracción representa un cuarto?",Sin especificar,4º Primaria,Fracciones,Cuarto,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_42,"Si coloreas 2 partes de 4, ¿qué fracción has coloreado?",Sin especificar,4º Primaria,Fracciones,Colorear,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_45,"¿Qué fracción representa un tercio?",Sin especificar,4º Primaria,Fracciones,Tercio,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_48,"Si juntas 1/4 + 1/4, ¿qué fracción tienes?",Sin especificar,4º Primaria,Fracciones,Suma visual,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_54,"Una película dura 2 horas y 15 minutos. Si empieza a las 4:30, ¿a qué hora termina?",Sin especificar,4º Primaria,Problemas,Tiempo,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_69,"Separa correctamente: ""Micasaesgrande""",Sin especificar,4º Primaria,Lengua Castellana,Separar palabras,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_70,"Añade el punto: ""Hoy hace buen día""",Sin especificar,4º Primaria,Lengua Castellana,Punto final,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_71,"Añade comas: ""Compré pan leche queso y jamón""",Sin especificar,4º Primaria,Lengua Castellana,Coma en lista,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE1_72,"¿Cuál lleva tilde: ""Ratón"" o ""Mesa""?",Sin especificar,4º Primaria,Lengua Castellana,Palabras agudas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_1,"¿Cuáles son las 3 funciones vitales de los seres vivos?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Funciones vitales,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_2,"Di 3 animales vertebrados",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Reino animal,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_3,"¿Qué necesitan las plantas para hacer la fotosíntesis?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Reino vegetal,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_4,"Ordena la cadena: León, cebra, hierba",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Cadena alimentaria,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_5,"Di 2 animales herbívoros",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Herbívoros,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_6,"Di 2 animales carnívoros",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Carnívoros,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_7,"¿Qué come un animal omnívoro?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Omnívoros,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_8,"¿Cuáles son las partes principales de una planta?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Partes de la planta,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_9,"Di un animal típico de los bosques gallegos",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Animales de Galicia,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_11,"¿Qué gas respiramos las personas?",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Respiración,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_12,"Di 2 animales que nacen de huevo",Sin especificar,4º Primaria,Ciencias de la Naturaleza,Animales ovíparos,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_38,"Di las 4 provincias de Galicia",Sin especificar,4º Primaria,Ciencias Sociales,Provincias,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_39,"Di 2 ríos de Galicia",Sin especificar,4º Primaria,Ciencias Sociales,Ríos,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_40,"¿Qué mar baña Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Costa,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_41,"Di 3 ciudades importantes de Galicia",Sin especificar,4º Primaria,Ciencias Sociales,Ciudades,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_42,"¿A dónde llega el Camino de Santiago?",Sin especificar,4º Primaria,Ciencias Sociales,Camino de Santiago,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_43,"¿De qué colores es la bandera de Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Símbolos,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_44,"Di 2 platos típicos de Galicia",Sin especificar,4º Primaria,Ciencias Sociales,Gastronomía,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_45,"¿Cuándo es el Día de Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Fiestas,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_46,"Di un paisaje típico de Galicia",Sin especificar,4º Primaria,Ciencias Sociales,Paisajes,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_47,"¿Qué instrumento musical es típico de Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Tradiciones,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_48,"¿Cómo se llamaban los antiguos habitantes de Galicia?",Sin especificar,4º Primaria,Ciencias Sociales,Historia,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_61,"How do you say ""cinco"" in English?",Sin especificar,4º Primaria,Inglés,Numbers 1-10,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_62,"How do you say ""quince"" in English?",Sin especificar,4º Primaria,Inglés,Numbers 11-20,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_63,"Count from 1 to 5 in English",Sin especificar,4º Primaria,Inglés,Counting,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_64,"Complete: ""How ______ apples?",Sin especificar,4º Primaria,Inglés,How many,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_65,"How do you say ""treinta"" in English?",Sin especificar,4º Primaria,Inglés,Numbers 20-100,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_67,"How do you say ""primero"" in English?",Sin especificar,4º Primaria,Inglés,Ordinal numbers,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
cuarto-primaria-galicia-PARTE2_68,"How do you say ""segundo"" in English?",Sin especificar,4º Primaria,Inglés,Second,PROCEDIMIENTO,,PROPRIETARY,"Creación propia - EduAnalytics",0.44,PROCEDIMIENTO,,PROPRIETARY,false,""
